,track_name,weeks,max_rank,min_rank,avg_rank
Vienna Calling,Vienna Calling,14,99,18,43.857142857142854
Last Christmas,Last Christmas,4,89,41,60.75
She's Ready,She's Ready,14,131,72,96.0
No One For Me To Turn To,No One For Me To Turn To,3,126,89,112.33333333333333
Most Likely You Go Your Way,Most Likely You Go Your Way,6,101,66,81.66666666666667
Half A Million Miles From Home,Half A Million Miles From Home,5,100,87,93.6
Closet Freak,Closet Freak,3,100,98,99.0
Chattahoochee,Chattahoochee,20,92,46,66.3
I Do Believe In You,I Do Believe In You,3,89,84,86.0
Slow Hand,Slow Hand,24,97,2,29.541666666666668
I've Been This Way Before,I've Been This Way Before,7,73,34,49.714285714285715
Tal Vez,Tal Vez,8,100,74,91.25
Dum Dum Dee Dum,Dum Dum Dee Dum,5,121,77,91.0
Refugee,Refugee,14,93,15,35.214285714285715
Here Comes My Girl,Here Comes My Girl,7,97,59,74.28571428571429
Don't Do Me Like That,Don't Do Me Like That,18,81,10,34.72222222222222
So Sad,So Sad,13,105,7,25.76923076923077
Money Honey,Money Honey,20,100,9,46.2
I'm Leaving It Up To You,I'm Leaving It Up To You,16,117,1,28.125
The Loneliest Night,The Loneliest Night,5,89,65,76.4
My Foolish Heart,My Foolish Heart,49,115,3,21.408163265306122
Alive Again,Alive Again,13,94,14,41.0
Young Emotions,Young Emotions,14,110,12,38.214285714285715
Angela Jones,Angela Jones,15,92,27,55.733333333333334
"River, Stay 'Way From My Door","River, Stay 'Way From My Door",0,,,
When We Make Love,When We Make Love,10,99,72,87.0
The Sound Of My Tears,The Sound Of My Tears,4,100,97,98.0
Soon As I Get Home,Soon As I Get Home,20,86,21,41.55
Whoomp!,Whoomp!,45,65,2,14.777777777777779
"Whoot, There It Is","Whoot, There It Is",0,,,
Tha Crossroads,Tha Crossroads,20,58,1,17.35
Smokin' Me Out,Smokin' Me Out,14,97,35,55.42857142857143
5 O'Clock,5 O'Clock,40,100,10,41.4
Expression,Expression,21,95,26,54.714285714285715
You Showed Me,You Showed Me,33,117,6,53.72727272727273
Do You Want Me,Do You Want Me,26,99,21,45.84615384615385
Beautiful Life,Beautiful Life,21,93,15,38.714285714285715
Mashed Potato Time,Mashed Potato Time,19,119,2,26.157894736842106
I Just Wanna Love U,I Just Wanna Love U,2,58,45,51.5
99 Problems/Dirt Off Your Shoulder,99 Problems/Dirt Off Your Shoulder,0,,,
Let's Stay Home Tonight,Let's Stay Home Tonight,12,100,68,79.25
White Christmas,White Christmas,75,104,1,25.76
Kiddio,Kiddio,17,60,7,24.941176470588236
Deep Inside My Heart,Deep Inside My Heart,16,98,22,51.8125
Private Idaho,Private Idaho,5,85,74,78.6
Love Is Gone,Love Is Gone,1,98,98,98.0
Mickey,Mickey,27,96,1,33.111111111111114
Funkorama,Funkorama,4,94,81,84.5
Wings Of The Morning,Wings Of The Morning,10,94,79,84.7
Dream Baby,Dream Baby,20,103,4,36.1
Mustang Sally,Mustang Sally,15,116,23,66.4
Bachelor Boy,Bachelor Boy,9,123,99,110.44444444444444
Little Bit O' Soul,Little Bit O' Soul,0,,,
Son Of My Father,Son Of My Father,11,92,46,67.36363636363636
Popsicle,Popsicle,10,119,21,43.1
The Boll Weevil Song,The Boll Weevil Song,16,92,2,26.125
Lie To Me,Lie To Me,11,109,13,39.90909090909091
Ooh Baby,Ooh Baby,27,111,25,72.92592592592592
Pennies From Heaven,Pennies From Heaven,14,111,24,60.142857142857146
Somebody s Out There,Somebody s Out There,0,,,
Magic Power,Magic Power,11,99,51,71.27272727272727
I Get The Sweetest Feeling,I Get The Sweetest Feeling,9,135,34,62.888888888888886
Lucky Love,Lucky Love,17,88,30,56.23529411764706
Living In Danger,Living In Danger,0,,,
Naughty Girls,Naughty Girls,27,90,3,40.851851851851855
This Magic Moment,This Magic Moment,29,129,6,46.724137931034484
Not Too Long Ago,Not Too Long Ago,8,131,66,88.25
You Gotta Believe,You Gotta Believe,11,103,49,67.81818181818181
Wildside,Wildside,20,99,10,35.2
I Need Money,I Need Money,7,89,61,76.28571428571429
Never Knew Love Like This,Never Knew Love Like This,14,85,28,51.07142857142857
Ballero,Ballero,10,85,33,55.7
Why Can't We Be Friends?,Why Can't We Be Friends?,0,,,
L.A. Sunshine,L.A. Sunshine,10,84,45,58.2
Saturday Love,Saturday Love,17,98,26,55.705882352941174
Outlaw,Outlaw,4,99,87,94.5
No Sad Songs,No Sad Songs,8,105,49,63.875
Nine Pound Steel,Nine Pound Steel,11,125,70,89.0909090909091
I Can't Hear You,I Can't Hear You,6,128,66,80.33333333333333
Getting Mighty Crowded,Getting Mighty Crowded,6,98,65,75.0
Walking To New Orleans,Walking To New Orleans,14,57,6,23.928571428571427
I'll Be Your Everything,I'll Be Your Everything,36,110,1,58.416666666666664
Johnny Angel,Johnny Angel,16,112,1,22.8125
You Said A Bad Word,You Said A Bad Word,8,78,41,51.5
My Toot Toot,My Toot Toot,15,98,50,77.0
I Can Take Or Leave Your Loving,I Can Take Or Leave Your Loving,11,82,22,41.18181818181818
A Must To Avoid,A Must To Avoid,9,48,8,20.666666666666668
The  Bird,The  Bird,10,120,97,106.4
This Moment In Time,This Moment In Time,6,94,58,76.66666666666667
Am I That Easy To Forget,Am I That Easy To Forget,32,117,18,54.40625
I Can't Get Next To You,I Can't Get Next To You,30,125,1,46.93333333333333
Are You My Woman?,Are You My Woman?,0,,,
A Lonely Man,A Lonely Man,0,,,
The Coldest Days Of My Life,The Coldest Days Of My Life,9,88,47,58.888888888888886
Seems Like I Gotta Do Wrong,Seems Like I Gotta Do Wrong,9,92,50,67.0
Honky Train,Honky Train,3,104,92,97.66666666666667
Twist-Her,Twist-Her,0,,,
So What,So What,64,123,1,36.203125
-twistin'-White Silver Sands,-twistin'-White Silver Sands,0,,,
Little Queenie,Little Queenie,12,134,73,94.41666666666667
Comin' On,Comin' On,6,123,67,83.66666666666667
White Silver Sands,White Silver Sands,38,101,9,36.026315789473685
In My Little Corner Of The World,In My Little Corner Of The World,17,103,10,45.529411764705884
I Can't Do It By Myself,I Can't Do It By Myself,3,102,87,93.33333333333333
A Texan And A Girl From Mexico,A Texan And A Girl From Mexico,4,112,98,104.25
One Of The Lucky Ones,One Of The Lucky Ones,7,98,62,76.71428571428571
Amy,Amy,7,121,65,87.0
My Dad,My Dad,16,93,6,33.0
If You Want This Love,If You Want This Love,14,129,71,94.0
Last Chance,Last Chance,20,101,63,80.0
"Love Theme From ""Romeo And Juliet""","Love Theme From ""Romeo And Juliet""",5,117,96,107.2
I m In A Philly Mood,I m In A Philly Mood,0,,,
Come To Me Softly,Come To Me Softly,7,112,76,96.85714285714286
All True Man,All True Man,11,100,43,65.9090909090909
Winner Takes It All,Winner Takes It All,14,100,54,73.78571428571429
Young Boy Blues,Young Boy Blues,6,97,66,75.66666666666667
Saved,Saved,16,95,37,76.6875
Souvenirs,Souvenirs,5,112,72,92.6
Candida,Candida,19,114,3,32.526315789473685
True Faith,True Faith,18,95,32,51.55555555555556
Nothin  But A Good Time,Nothin  But A Good Time,0,,,
Rubber Biscuit,Rubber Biscuit,8,97,37,53.625
Get Ready For This,Get Ready For This,34,100,38,63.970588235294116
Maybe Tonight,Maybe Tonight,4,113,88,99.25
This Old Heart,This Old Heart,6,104,79,87.33333333333333
Why Do Fools Fall In Love,Why Do Fools Fall In Love,96,127,7,42.114583333333336
Question,Question,24,103,19,43.125
You'll Always Find Your Way Back Home,You'll Always Find Your Way Back Home,4,97,81,88.25
Crazier,Crazier,8,90,17,56.375
"Ready, Set, Don't Go","Ready, Set, Don't Go",0,,,
Shanghai Breezes,Shanghai Breezes,14,97,31,54.57142857142857
It Amazes Me,It Amazes Me,7,98,59,71.42857142857143
Hungry Like The Wolf,Hungry Like The Wolf,23,94,3,29.565217391304348
What Hurts The Most,What Hurts The Most,65,99,6,47.323076923076925
Some People,Some People,16,100,65,78.75
Somebody Else s Guy,Somebody Else s Guy,0,,,
Just A Closer Walk With Thee,Just A Closer Walk With Thee,0,,,
The World I Used To Know,The World I Used To Know,13,135,51,86.92307692307692
I Hate Hate,I Hate Hate,6,88,67,77.0
Serious,Serious,18,93,21,48.44444444444444
Move Shake Drop,Move Shake Drop,5,90,56,76.8
Don't Stop 'Til You Get Enough,Don't Stop 'Til You Get Enough,3,87,73,79.0
Butterflies,Butterflies,21,60,14,28.80952380952381
Dreamtime,Dreamtime,15,91,5,29.8
Foolish Pride,Foolish Pride,13,94,33,56.76923076923077
Tell Me If You Still Care,Tell Me If You Still Care,13,107,65,84.6923076923077
Just The Way You Like It,Just The Way You Like It,15,98,64,80.4
That Kind Of Woman,That Kind Of Woman,7,117,76,84.85714285714286
I Can Sing A Rainbow/Love Is Blue,I Can Sing A Rainbow/Love Is Blue,0,,,
Oh What A Day,Oh What A Day,9,102,43,60.333333333333336
Nadine,Nadine,11,116,23,52.36363636363637
Wildwood Days,Wildwood Days,9,74,17,39.55555555555556
Missing You Now,Missing You Now,20,88,12,39.8
Can You Stop The Rain,Can You Stop The Rain,15,100,52,73.33333333333333
Isn't It Amazing,Isn't It Amazing,5,110,100,106.6
Up From The Skies,Up From The Skies,6,126,82,98.83333333333333
Thriller,Thriller,17,99,4,35.588235294117645
Human Nature,Human Nature,30,98,7,44.8
You Be Illin',You Be Illin',18,99,29,51.888888888888886
Dancing In The Sheets,Dancing In The Sheets,18,94,17,42.05555555555556
Ruby Baby,Ruby Baby,22,92,2,34.40909090909091
I Wanna Know Your Name,I Wanna Know Your Name,13,98,60,77.38461538461539
Bring Me To Life,Bring Me To Life,32,64,5,21.09375
I Lost On Jeopardy,I Lost On Jeopardy,3,97,81,87.0
Ricky,Ricky,8,97,63,76.875
99,99,17,91,26,49.588235294117645
Always Be My Baby,Always Be My Baby,33,67,1,18.666666666666668
Kalimba Story,Kalimba Story,10,103,55,74.4
"Bump, Bump, Bump","Bump, Bump, Bump",0,,,
Uh Huh,Uh Huh,22,86,37,51.09090909090909
Theme From The Dukes Of Hazzard,Theme From The Dukes Of Hazzard,0,,,
Love Shoulda Brought You Home,Love Shoulda Brought You Home,20,87,33,54.75
I'll Be Over You,I'll Be Over You,23,98,11,45.69565217391305
That's Not My Name,That's Not My Name,26,99,39,62.88461538461539
Baby Come To Me,Baby Come To Me,9,95,60,75.0
Yummy Yummy Yummy,Yummy Yummy Yummy,16,110,4,35.25
I Don't Want To Cry,I Don't Want To Cry,12,117,36,78.16666666666667
Crosstown Traffic,Crosstown Traffic,8,73,52,60.0
Sin,Sin,5,113,82,101.2
Gone With The Wind,Gone With The Wind,4,126,89,107.5
"Please Help Me, I'm Falling","Please Help Me, I'm Falling",0,,,
She Loves To Be In Love,She Loves To Be In Love,7,88,54,64.57142857142857
For Sentimental Reasons,For Sentimental Reasons,42,94,1,30.166666666666668
Let Me Call You Sweetheart,Let Me Call You Sweetheart,5,96,66,78.2
The Love Of A Boy,The Love Of A Boy,8,84,44,59.875
Miss Broadway,Miss Broadway,4,98,92,95.25
Here Comes That Feelin',Here Comes That Feelin',4,111,89,97.25
The Wheel Of Hurt,The Wheel Of Hurt,22,109,26,67.04545454545455
Eventually,Eventually,5,114,56,85.6
And Get Away,And Get Away,8,71,22,39.75
My True Story,My True Story,19,92,3,34.26315789473684
What Time Is It?,What Time Is It?,0,,,
I'm A Happy Man,I'm A Happy Man,11,109,36,66.72727272727273
Distant Drums,Distant Drums,15,125,45,91.66666666666667
Kiss The Girl,Kiss The Girl,2,98,81,89.5
Don't Stop Now,Don't Stop Now,6,114,104,107.83333333333333
Bang A Gong,Bang A Gong,21,98,10,47.523809523809526
"Don t Worry, Be Happy","Don t Worry, Be Happy",0,,,
Wavelength,Wavelength,11,100,42,61.0
Lo Que Son Las Cosas,Lo Que Son Las Cosas,3,100,79,92.0
Misery,Misery,46,109,14,42.108695652173914
Promises Broken,Promises Broken,5,93,63,75.2
El Watusi,El Watusi,10,103,17,45.2
The South's Gonna Do It,The South's Gonna Do It,11,105,29,56.45454545454545
Uneasy Rider,Uneasy Rider,12,84,9,29.666666666666668
The Legend Of Wooley Swamp,The Legend Of Wooley Swamp,14,91,31,56.642857142857146
Long Haired Country Boy,Long Haired Country Boy,8,88,56,67.125
Texas,Texas,4,99,91,95.0
Still In Saigon,Still In Saigon,12,90,22,40.666666666666664
Maybe Tomorrow,Maybe Tomorrow,15,86,20,50.666666666666664
That's The Way God Planned It,That's The Way God Planned It,17,103,62,77.82352941176471
"Try Some, Buy Some","Try Some, Buy Some",0,,,
We're On Our Way,We're On Our Way,0,,,
Little Green Bag,Little Green Bag,14,101,21,44.07142857142857
I'd Like To Teach The World To Sing,I'd Like To Teach The World To Sing,23,87,7,26.043478260869566
Ring My Bell,Ring My Bell,40,100,1,40.65
Go The Distance,Go The Distance,20,74,24,44.55
Take Ya Home,Take Ya Home,7,93,72,78.42857142857143
Lost Soul,Lost Soul,3,98,84,90.33333333333333
Wonderful World,Wonderful World,43,106,4,42.13953488372093
Cowboy Take Me Away,Cowboy Take Me Away,20,79,27,48.25
Working On A Dream,Working On A Dream,1,95,95,95.0
Near You,Near You,62,97,1,15.935483870967742
I Belong To You/How Many Ways,I Belong To You/How Many Ways,0,,,
He Wasn t Man Enough,He Wasn t Man Enough,0,,,
Weekend Lover,Weekend Lover,7,99,57,73.28571428571429
Sometime,Sometime,11,118,16,62.54545454545455
Baby's Gone,Baby's Gone,14,133,84,103.92857142857143
Mama Liked The Roses,Mama Liked The Roses,0,,,
"You, I","You, I",0,,,
A Wonder Like You,A Wonder Like You,11,73,11,30.90909090909091
My Heart Sings,My Heart Sings,14,66,15,36.07142857142857
You Know It Ain't Right,You Know It Ain't Right,7,128,88,107.57142857142857
To Get To You,To Get To You,12,97,48,72.75
Too Funky,Too Funky,20,93,10,37.1
All That Glitters Isn t Gold,All That Glitters Isn t Gold,0,,,
If She Should Come To You,If She Should Come To You,0,,,
Banjo Boy,Banjo Boy,14,114,58,84.21428571428571
Another Sleepless Night,Another Sleepless Night,29,95,22,58.51724137931034
I've Got To Use My Imagination,I've Got To Use My Imagination,16,74,4,23.25
It's A Heartache,It's A Heartache,24,98,3,37.041666666666664
Let The Little Girl Dance,Let The Little Girl Dance,20,112,7,43.2
If We Never Meet Again,If We Never Meet Again,11,91,48,67.27272727272727
I m Not Your Man,I m Not Your Man,0,,,
Let Me Roll,Let Me Roll,4,94,87,91.0
That's All,That's All,35,116,6,46.114285714285714
Whenever I'm Away From You,Whenever I'm Away From You,6,70,38,51.0
Say Something Funny,Say Something Funny,10,108,22,56.7
Don't Just Stand There,Don't Just Stand There,12,114,8,36.75
Funny Little Butterflies,Funny Little Butterflies,2,118,88,103.0
Whenever She Holds You,Whenever She Holds You,6,113,64,80.5
Can't Get Over Losing You,Can't Get Over Losing You,4,123,98,109.75
I've Been Hurt,I've Been Hurt,10,89,35,56.0
Freak Me,Freak Me,24,47,1,11.708333333333334
Little Miss Blue,Little Miss Blue,1,96,96,96.0
Till Then,Till Then,25,113,8,32.48
What To Do With Laurie,What To Do With Laurie,8,102,68,83.625
One Boy Too Late,One Boy Too Late,5,119,96,108.2
Image Of A Girl,Image Of A Girl,18,95,6,34.72222222222222
Diana,Diana,33,112,2,39.666666666666664
He Ain't No Angel,He Ain't No Angel,3,114,100,105.33333333333333
Climb Every Mountain,Climb Every Mountain,11,107,72,86.36363636363636
Will Power,Will Power,5,81,72,76.2
Girls Grow Up Faster Than Boys,Girls Grow Up Faster Than Boys,12,130,33,56.75
Take The Money And Run,Take The Money And Run,16,99,11,39.4375
Adam And Eve,Adam And Eve,0,,,
I Wanna Love My Life Away,I Wanna Love My Life Away,0,,,
She's A Heartbreaker,She's A Heartbreaker,15,129,16,51.86666666666667
Mecca,Mecca,11,81,12,32.63636363636363
Last Chance To Turn Around,Last Chance To Turn Around,10,73,13,32.4
That Girl Belongs To Yesterday,That Girl Belongs To Yesterday,7,87,49,61.0
Twenty Four Hours From Tulsa,Twenty Four Hours From Tulsa,11,99,17,42.72727272727273
True Love Never Runs Smooth,True Love Never Runs Smooth,11,99,21,45.63636363636363
Princess In Rags,Princess In Rags,8,82,37,53.5
Pretend You Don't See Her,Pretend You Don't See Her,14,97,52,69.21428571428571
Don't Let Me Be Misunderstood,Don't Let Me Be Misunderstood,30,131,15,46.43333333333333
Doctor's Orders,Doctor's Orders,16,79,11,32.75
Lady Bump,Lady Bump,10,80,48,62.4
Turning To You,Turning To You,2,100,96,98.0
Whatcha Gonna Do,Whatcha Gonna Do,41,94,6,49.75609756097561
Arms Of Mary,Arms Of Mary,12,110,67,83.58333333333333
Gift Of Love,Gift Of Love,2,98,91,94.5
The Bells Are Ringing,The Bells Are Ringing,5,118,99,108.0
No Man Is An Island,No Man Is An Island,6,115,94,105.5
Not Too Young To Get Married,Not Too Young To Get Married,7,115,63,79.85714285714286
Zip-A-Dee Doo-Dah,Zip-A-Dee Doo-Dah,0,,,
We Go Together,We Go Together,9,104,53,81.22222222222223
The Girl's A Devil,The Girl's A Devil,14,117,64,78.5
That's When I Cried,That's When I Cried,5,98,83,90.0
Mashed Potatoes,Mashed Potatoes,4,117,81,93.5
Gotta Lotta Love,Gotta Lotta Love,0,,,
Gal Yuh Ah Lead,Gal Yuh Ah Lead,9,98,85,90.44444444444444
Hide 'Nor Hair,Hide 'Nor Hair,0,,,
Early Every Morning,Early Every Morning,2,103,95,99.0
Ten Commandments,Ten Commandments,8,128,81,103.0
Love On The Airwaves,Love On The Airwaves,5,104,87,96.2
If You Remember Me,If You Remember Me,21,108,17,54.19047619047619
Fire With Fire,Fire With Fire,6,91,71,79.83333333333333
La Pachanga,La Pachanga,3,114,87,96.33333333333333
Before My Heart Finds Out,Before My Heart Finds Out,14,90,23,45.57142857142857
Like A Sunday In Salem,Like A Sunday In Salem,10,97,40,61.2
"In The Bad, Bad Old Days","In The Bad, Bad Old Days",0,,,
Lo Mucho Que Te Quiero,Lo Mucho Que Te Quiero,0,,,
How Can I Forget You,How Can I Forget You,8,99,60,73.75
Forgive Me For Dreaming,Forgive Me For Dreaming,12,96,49,65.33333333333333
That's Where The Happy People Go,That's Where The Happy People Go,15,98,27,62.06666666666667
Your Boyfriend's Back,Your Boyfriend's Back,2,100,98,99.0
Hard Lovin' Loser,Hard Lovin' Loser,7,131,97,112.57142857142857
Whip It On Me,Whip It On Me,1,91,91,91.0
She's Mine,She's Mine,14,98,21,47.285714285714285
Panic Switch,Panic Switch,1,92,92,92.0
Greenback Dollar,Greenback Dollar,11,96,21,44.81818181818182
Desert Pete,Desert Pete,8,70,33,46.25
Over The Mountain  Across The Sea,Over The Mountain  Across The Sea,0,,,
Every Little Move You Make,Every Little Move You Make,5,110,84,95.4
"Hello Heartache, Goodbye Love","Hello Heartache, Goodbye Love",0,,,
I Wish I Were A Princess,I Wish I Were A Princess,7,82,32,49.285714285714285
I Will Follow Him,I Will Follow Him,14,90,1,22.071428571428573
The Impossible Happened,The Impossible Happened,7,129,57,74.42857142857143
F.U.R.B.,F.U.R.B.,7,96,63,72.28571428571429
What You Don t Know,What You Don t Know,0,,,
We'll Sing In The Sunshine,We'll Sing In The Sunshine,18,116,4,32.72222222222222
As Time Goes By,As Time Goes By,44,112,2,33.93181818181818
"Take Me Home, Country Roads","Take Me Home, Country Roads",0,,,
Dancin' Fool,Dancin' Fool,19,93,28,56.578947368421055
Rise,Rise,34,96,1,38.411764705882355
Wifey,Wifey,21,85,7,28.19047619047619
Steel Men,Steel Men,8,96,41,56.125
Three Little Pigs,Three Little Pigs,20,79,17,38.75
P.T. 109,P.T. 109,11,90,8,29.727272727272727
He Is,He Is,13,99,90,95.76923076923077
The First Thing Ev'ry Morning,The First Thing Ev'ry Morning,0,,,
If Heaven,If Heaven,16,90,65,77.625
Little Black Book,Little Black Book,10,104,29,50.7
The Cajun Queen,The Cajun Queen,8,69,22,36.0
The Last Word In Lonesome Is Me,The Last Word In Lonesome Is Me,7,82,40,53.57142857142857
American Baby,American Baby,11,87,16,61.72727272727273
Juicebox,Juicebox,1,98,98,98.0
The Love Song,The Love Song,12,91,59,70.66666666666667
Whisper To A Scream,Whisper To A Scream,12,99,37,56.166666666666664
Try Sleeping With A Broken Heart,Try Sleeping With A Broken Heart,20,90,27,52.75
"Love Theme From ""The Godfather""","Love Theme From ""The Godfather""",20,95,34,61.4
Back Home Again,Back Home Again,16,81,5,33.5625
Inside Your Heaven,Inside Your Heaven,19,98,1,39.10526315789474
Maybelline,Maybelline,9,70,12,29.555555555555557
Ignition,Ignition,42,92,2,25.357142857142858
Still Po' Pimpin',Still Po' Pimpin',14,100,62,77.28571428571429
I Can't Sleep,I Can't Sleep,7,94,61,74.14285714285714
Down Low,Down Low,20,62,4,20.05
Are You Lonely For Me,Are You Lonely For Me,13,119,39,66.46153846153847
I'm Outstanding,I'm Outstanding,11,96,47,62.09090909090909
Hangin' On,Hangin' On,17,103,25,56.1764705882353
Kissin' Cousins,Kissin' Cousins,9,63,12,28.77777777777778
Message From Maria,Message From Maria,8,111,75,90.5
Biological Didn't Bother,Biological Didn't Bother,11,100,78,89.0909090909091
Yours Love,Yours Love,7,97,78,87.0
It's Hard To Get Along,It's Hard To Get Along,3,90,87,89.0
One Sweet Day,One Sweet Day,27,45,1,9.703703703703704
Lift Me Up,Lift Me Up,20,100,32,64.3
Teenager's Prayer,Teenager's Prayer,9,122,66,85.77777777777777
Pony Time,Pony Time,25,87,1,37.24
Sins Of The Family,Sins Of The Family,0,,,
The Jerk,The Jerk,16,119,7,40.1875
Wondering Where The Lions Are,Wondering Where The Lions Are,17,97,21,47.35294117647059
The First Day Of Summer,The First Day Of Summer,11,97,33,55.81818181818182
Who Says,Who Says,34,95,17,50.911764705882355
Little Lady,Little Lady,7,100,68,79.0
Caterina,Caterina,12,91,23,45.0
Do The Monkey,Do The Monkey,7,125,92,110.85714285714286
Lady Love Me,Lady Love Me,13,87,30,49.23076923076923
Dangling On A String,Dangling On A String,9,86,38,54.111111111111114
So Very Hard To Go,So Very Hard To Go,18,97,17,43.05555555555556
It's Time For Love,It's Time For Love,3,99,94,97.0
Don't Stop It Now,Don't Stop It Now,6,80,42,56.833333333333336
White Liar,White Liar,20,98,38,59.35
Capture The Moment,Capture The Moment,3,118,90,103.33333333333333
Was Dog A Doughnut,Was Dog A Doughnut,9,92,70,79.33333333333333
That Stranger Used To Be My Girl,That Stranger Used To Be My Girl,10,116,28,60.4
Love Like A Man,Love Like A Man,5,115,98,103.2
I'd Love To Change The World,I'd Love To Change The World,12,100,40,56.083333333333336
Angel Baby,Angel Baby,51,99,5,47.1764705882353
Lonely Blue Nights,Lonely Blue Nights,6,118,66,89.0
Oh Well,Oh Well,27,115,30,66.55555555555556
Omaha,Omaha,8,121,88,106.0
Happy Birthday Blues,Happy Birthday Blues,12,114,30,56.416666666666664
Magic Is The Night,Magic Is The Night,5,114,80,93.2
Navy Blue,Navy Blue,13,114,6,35.23076923076923
Kiss Me Sailor,Kiss Me Sailor,13,122,29,58.38461538461539
Strange Things Happening,Strange Things Happening,8,119,99,109.0
Them That Got,Them That Got,6,95,58,74.0
Hardhearted Hannah,Hardhearted Hannah,5,106,55,76.6
Rock-A-Bye Your Baby With A Dixie Melody,Rock-A-Bye Your Baby With A Dixie Melody,28,89,12,36.5
In Dreams,In Dreams,13,81,7,25.692307692307693
You Got It,You Got It,73,127,3,51.64383561643836
Mio Amore,Mio Amore,7,112,74,89.42857142857143
The Watusi,The Watusi,9,107,25,54.888888888888886
Brother-In-Law,Brother-In-Law,3,98,84,89.33333333333333
You'll Always Be The One I Love,You'll Always Be The One I Love,7,119,64,83.85714285714286
Don't Take Your Love From Me,Don't Take Your Love From Me,7,119,76,102.0
Lonely Winds,Lonely Winds,9,100,54,75.22222222222223
Don Quichotte,Don Quichotte,0,,,
Turn On Your Radar,Turn On Your Radar,7,97,64,74.57142857142857
Time Bomb,Time Bomb,3,86,83,84.33333333333333
Spaceship Superstar,Spaceship Superstar,4,93,82,87.25
The Lovin' Touch,The Lovin' Touch,6,100,84,91.16666666666667
Right Between The Eyes,Right Between The Eyes,13,97,43,63.76923076923077
The Joker,The Joker,49,98,1,46.16326530612245
Nothing Ever Goes As Planned,Nothing Ever Goes As Planned,8,99,54,76.5
"Theme From ""Hatari!""","Theme From ""Hatari!""",7,109,95,101.14285714285714
Talk To Me Baby,Talk To Me Baby,9,115,92,103.44444444444444
Gravy,Gravy,11,116,9,32.27272727272727
Ride!,Ride!,0,,,
The Taker,The Taker,3,113,94,104.66666666666667
Runaround,Runaround,23,111,20,50.73913043478261
Tiny Dancer,Tiny Dancer,7,85,41,54.42857142857143
Shake! Shake! Shake!,Shake! Shake! Shake!,0,,,
Heaven Must Be Missing An Angel,Heaven Must Be Missing An Angel,21,100,15,42.95238095238095
Chicken Fried,Chicken Fried,25,60,20,34.16
Russian Roulette,Russian Roulette,14,100,9,52.57142857142857
When The Boy's Happy,When The Boy's Happy,4,124,95,107.5
I Have A Boyfriend,I Have A Boyfriend,11,127,36,62.0
Sailor Boy,Sailor Boy,6,131,81,99.83333333333333
Little Pedro,Little Pedro,6,102,76,92.16666666666667
Do You Know How To Twist,Do You Know How To Twist,5,111,87,93.6
My Girl Sloopy,My Girl Sloopy,9,84,26,44.77777777777778
Love Again,Love Again,4,98,85,89.25
Wavin' Flag,Wavin' Flag,7,99,82,89.71428571428571
One Time,One Time,25,95,17,36.12
Under The Moon Of Love,Under The Moon Of Love,8,119,46,69.875
Many Tears Ago,Many Tears Ago,13,79,7,24.307692307692307
Patricia - Twist,Patricia - Twist,5,84,65,73.2
Baby Oh Baby,Baby Oh Baby,11,113,21,60.45454545454545
Lover's Island,Lover's Island,11,107,31,58.72727272727273
Laugh,Laugh,9,130,83,108.11111111111111
Bridging The Gap,Bridging The Gap,4,100,94,95.5
The World's Greatest,The World's Greatest,18,97,34,62.611111111111114
"Whiney, Whiney","Whiney, Whiney",0,,,
Brown Arms In Houston,Brown Arms In Houston,5,120,91,101.2
Swing Ya Rag,Swing Ya Rag,2,92,62,77.0
Boogie Shoes,Boogie Shoes,10,83,35,52.5
You Don't Want Me Anymore,You Don't Want Me Anymore,20,99,16,48.95
Searching For A Thrill,Searching For A Thrill,6,84,58,68.16666666666667
What You Won t Do For Love,What You Won t Do For Love,0,,,
I Loved 'Em Every One,I Loved 'Em Every One,14,93,37,60.5
Only One You,Only One You,13,108,68,88.38461538461539
Light My Fire/137 Disco Heaven,Light My Fire/137 Disco Heaven,0,,,
Have You Heard,Have You Heard,25,112,5,24.28
Like You'll Never See Me Again,Like You'll Never See Me Again,24,93,12,27.208333333333332
Desafinado,Desafinado,29,121,15,69.20689655172414
All Grown Up,All Grown Up,3,132,98,116.66666666666667
Walking In The Rain,Walking In The Rain,11,95,23,45.54545454545455
Do I Love You?,Do I Love You?,0,,,
Breakin' Up,Breakin' Up,8,98,39,60.0
I Can Hear Music,I Can Hear Music,13,120,24,58.92307692307692
Nail It To The Wall,Nail It To The Wall,13,96,48,70.84615384615384
Never Leave Me Alone,Never Leave Me Alone,19,93,33,50.68421052631579
Getto Jam,Getto Jam,20,78,7,30.5
Got Ur Self A,Got Ur Self A,0,,,
True Colors,True Colors,24,100,1,43.166666666666664
"Green, Green Grass Of Home","Green, Green Grass Of Home",0,,,
The Crowd,The Crowd,10,85,26,45.8
I'm Hurtin',I'm Hurtin',8,84,27,51.375
Workin' For The Man,Workin' For The Man,11,90,33,52.63636363636363
Mean Woman Blues,Mean Woman Blues,13,90,5,27.23076923076923
Rough Lover,Rough Lover,3,119,94,105.0
"I Surrender, Dear","I Surrender, Dear",0,,,
The Minotaur,The Minotaur,10,114,38,66.2
Who Found Who,Who Found Who,15,77,16,41.46666666666667
I'd Rather Be A Cowboy,I'd Rather Be A Cowboy,10,90,62,75.2
